"","年份","G","东部地区","中部地区","西部地区","东西","东中","中西","Gw","Gnb","Gt"
"1",2005,0.200425652812576,0.179248119489736,0.196395693068387,0.228693826093934,0.213058597771204,0.197023703148705,0.214584835192952,0.0689284116613223,0.0348532289087692,0.0966440122424847
"2",2006,0.138048273396783,0.125652091243624,0.129209214767377,0.16332409365414,0.151766270954868,0.133435253374416,0.148035554103783,0.0472405651393618,0.0241710607014632,0.0666366475559578
"3",2007,0.144776936308712,0.124311014272852,0.145131206082449,0.166389645083351,0.151456491107129,0.143453593253876,0.157553019637905,0.0493057834284728,0.0281038502452358,0.067367302635003
"4",2008,0.146199292929061,0.131304931473691,0.145566991432133,0.154748775161827,0.154211976808017,0.147172242583888,0.151011982678357,0.0502501829614924,0.0304938400178957,0.065455269949673
"5",2009,0.153557402474933,0.141558499594996,0.152863726727667,0.1596573237048,0.158477819715117,0.15569485502935,0.156611566322927,0.0532396120071779,0.0280933252868237,0.0722244651809313
"6",2010,0.143531974310729,0.131110615024863,0.139777417155835,0.152306744649251,0.14901532918088,0.146212735771385,0.147356899805803,0.0491748489156859,0.0324561969739725,0.0619009284210708
"7",2011,0.149788206942816,0.133641304265496,0.149107089453907,0.164128709840851,0.151338754816364,0.148369512713724,0.165150419732476,0.0511139552602572,0.0241328676520805,0.0745413840304783
"8",2012,0.147055065238324,0.127951345236432,0.146297830936905,0.164728724514433,0.148663488832715,0.145979096068038,0.164393836773429,0.0497973033225269,0.0270807789087915,0.0701769830070056
"9",2013,0.130834103940706,0.11117591691052,0.134817365657973,0.144999422401411,0.132666191825556,0.131926840508224,0.141583605147482,0.0445720868490861,0.0270328670909526,0.059229150000667
"10",2014,0.133984889775175,0.117120080981664,0.13684035436386,0.152725948416075,0.138453650405959,0.131140349069971,0.145987727018414,0.0462715010947384,0.0193458867033074,0.0683675019771294
"11",2015,0.139075488875457,0.105312625935668,0.148073124172073,0.164395228037219,0.142493565231417,0.139364450070912,0.158801076364377,0.0461691427275099,0.0312900956336606,0.0616162505142864
"12",2016,0.133937703391668,0.111923698891302,0.141192048305378,0.148637684817915,0.135881329838935,0.134371542594822,0.145432923384927,0.0458153763526808,0.0239240878023455,0.0641982392366413
"13",2017,0.141161717311732,0.117404079494998,0.140506116626493,0.162590626454247,0.155055327322748,0.139046546951822,0.15315348390699,0.0473822512132056,0.0335111289998112,0.0602683370987156
"14",2018,0.147529194818095,0.13027362510814,0.139959420949378,0.174262676931768,0.161970636235607,0.143610304812186,0.159321177925395,0.0500187706839866,0.0276732856482469,0.0698371384858617
"15",2019,0.145472153360903,0.131145938616587,0.143282018368891,0.163898319715806,0.149981792244612,0.14391544073438,0.156655392872699,0.0500419514742906,0.0252687134314687,0.070161488455144
